Unnamed: 0,batch,assigned_cluster
mouse1_lib2.final_cell_0268,0,beta
mouse2_lib2.final_cell_0159,1,alpha
mouse1_lib2.final_cell_0078,0,endothelial
mouse2_lib2.final_cell_0254,1,beta
mouse2_lib1.final_cell_0272,1,alpha
mouse2_lib2.final_cell_0230,1,beta
mouse1_lib3.final_cell_0243,0,ductal
mouse2_lib1.final_cell_0041,1,beta
mouse2_lib1.final_cell_0010,1,beta
mouse1_lib1.final_cell_0077,0,beta
mouse1_lib3.final_cell_0219,0,beta
mouse2_lib2.final_cell_0106,1,beta
mouse1_lib1.final_cell_0081,0,ductal
mouse2_lib3.final_cell_0178,1,delta
mouse1_lib2.final_cell_0177,0,beta
mouse2_lib1.final_cell_0083,1,B_cell
mouse2_lib2.final_cell_0090,1,beta
mouse1_lib2.final_cell_0132,0,endothelial
mouse1_lib1.final_cell_0187,0,endothelial
mouse2_lib1.final_cell_0045,1,delta
mouse1_lib2.final_cell_0138,0,delta
mouse2_lib3.final_cell_0107,1,beta
mouse2_lib3.final_cell_0063,1,alpha
mouse1_lib1.final_cell_0066,0,beta
mouse2_lib1.final_cell_0039,1,gamma
mouse1_lib1.final_cell_0246,0,delta
mouse2_lib3.final_cell_0360,1,ductal
mouse2_lib1.final_cell_0245,1,beta
mouse2_lib2.final_cell_0345,1,delta
mouse1_lib1.final_cell_0094,0,beta
mouse1_lib1.final_cell_0033,0,gamma
mouse1_lib3.final_cell_0230,0,T_cell
mouse1_lib1.final_cell_0191,0,beta
mouse1_lib2.final_cell_0104,0,beta
mouse2_lib2.final_cell_0193,1,beta
mouse2_lib2.final_cell_0312,1,beta
mouse1_lib1.final_cell_0262,0,ductal
mouse2_lib2.final_cell_0080,1,schwann
mouse1_lib3.final_cell_0057,0,quiescent_stellate
mouse2_lib2.final_cell_0112,1,alpha
mouse1_lib3.final_cell_0212,0,beta
mouse2_lib1.final_cell_0112,1,delta
mouse2_lib1.final_cell_0145,1,delta
mouse2_lib3.final_cell_0254,1,beta
mouse2_lib1.final_cell_0029,1,beta
mouse2_lib2.final_cell_0049,1,beta
mouse2_lib1.final_cell_0066,1,beta
mouse2_lib1.final_cell_0230,1,alpha
mouse2_lib2.final_cell_0048,1,alpha
mouse1_lib2.final_cell_0282,0,ductal
mouse2_lib2.final_cell_0178,1,beta
mouse1_lib1.final_cell_0252,0,beta
mouse2_lib1.final_cell_0307,1,beta
mouse2_lib1.final_cell_0143,1,beta
mouse2_lib2.final_cell_0127,1,beta
mouse1_lib3.final_cell_0202,0,macrophage
mouse1_lib2.final_cell_0037,0,beta
mouse2_lib2.final_cell_0262,1,beta
mouse1_lib1.final_cell_0157,0,endothelial
mouse2_lib3.final_cell_0388,1,delta
mouse1_lib3.final_cell_0168,0,delta
mouse2_lib2.final_cell_0164,1,beta
mouse2_lib3.final_cell_0124,1,beta
mouse1_lib2.final_cell_0074,0,beta
mouse1_lib1.final_cell_0237,0,quiescent_stellate
mouse2_lib1.final_cell_0211,1,beta
mouse2_lib2.final_cell_0256,1,delta
mouse2_lib2.final_cell_0289,1,beta
mouse2_lib2.final_cell_0185,1,delta
mouse1_lib2.final_cell_0215,0,beta
mouse2_lib2.final_cell_0035,1,delta
mouse2_lib2.final_cell_0055,1,delta
mouse2_lib2.final_cell_0016,1,beta
mouse2_lib3.final_cell_0370,1,beta
mouse2_lib1.final_cell_0054,1,beta
mouse2_lib3.final_cell_0310,1,macrophage
mouse1_lib2.final_cell_0156,0,beta
mouse1_lib1.final_cell_0060,0,beta
mouse2_lib1.final_cell_0199,1,alpha
mouse2_lib1.final_cell_0171,1,alpha
mouse1_lib3.final_cell_0236,0,ductal
mouse1_lib3.final_cell_0093,0,beta
mouse1_lib2.final_cell_0238,0,beta
mouse2_lib3.final_cell_0147,1,beta
mouse2_lib2.final_cell_0029,1,beta
mouse1_lib3.final_cell_0066,0,beta
mouse1_lib2.final_cell_0111,0,beta
mouse1_lib1.final_cell_0102,0,endothelial
mouse2_lib1.final_cell_0320,1,endothelial
mouse2_lib2.final_cell_0085,1,delta
mouse1_lib2.final_cell_0120,0,beta
mouse1_lib2.final_cell_0063,0,beta
mouse1_lib2.final_cell_0153,0,ductal
mouse1_lib3.final_cell_0206,0,beta
mouse1_lib1.final_cell_0242,0,delta
mouse2_lib2.final_cell_0245,1,beta
mouse2_lib2.final_cell_0288,1,beta
mouse2_lib2.final_cell_0091,1,alpha
mouse2_lib2.final_cell_0205,1,delta
mouse2_lib2.final_cell_0219,1,gamma
mouse1_lib1.final_cell_0264,0,ductal
mouse2_lib1.final_cell_0206,1,gamma
mouse2_lib2.final_cell_0137,1,beta
mouse1_lib1.final_cell_0037,0,ductal
mouse1_lib2.final_cell_0161,0,beta
mouse1_lib3.final_cell_0200,0,immune_other
mouse1_lib2.final_cell_0144,0,ductal
mouse1_lib1.final_cell_0265,0,T_cell
mouse1_lib3.final_cell_0239,0,ductal
mouse2_lib1.final_cell_0062,1,alpha
mouse2_lib3.final_cell_0302,1,beta
mouse1_lib2.final_cell_0257,0,ductal
mouse2_lib2.final_cell_0036,1,alpha
mouse2_lib3.final_cell_0306,1,delta
mouse2_lib1.final_cell_0124,1,beta
mouse2_lib2.final_cell_0096,1,alpha
mouse2_lib1.final_cell_0098,1,delta
mouse1_lib1.final_cell_0192,0,ductal
mouse1_lib1.final_cell_0161,0,delta
mouse2_lib2.final_cell_0332,1,delta
mouse2_lib3.final_cell_0002,1,beta
mouse2_lib3.final_cell_0314,1,endothelial
mouse2_lib1.final_cell_0019,1,beta
mouse2_lib3.final_cell_0157,1,alpha
mouse1_lib3.final_cell_0044,0,delta
mouse2_lib2.final_cell_0210,1,beta
mouse2_lib1.final_cell_0129,1,endothelial
mouse2_lib1.final_cell_0318,1,B_cell
mouse1_lib1.final_cell_0255,0,ductal
mouse1_lib2.final_cell_0289,0,endothelial
mouse1_lib2.final_cell_0020,0,ductal
mouse1_lib3.final_cell_0075,0,beta
mouse1_lib2.final_cell_0233,0,ductal
mouse1_lib3.final_cell_0051,0,beta
mouse1_lib2.final_cell_0060,0,beta
mouse2_lib2.final_cell_0310,1,alpha
mouse1_lib1.final_cell_0024,0,delta
mouse2_lib3.final_cell_0030,1,alpha
mouse2_lib3.final_cell_0298,1,beta
mouse2_lib3.final_cell_0336,1,ductal
mouse2_lib1.final_cell_0201,1,beta
mouse1_lib3.final_cell_0116,0,endothelial
mouse1_lib3.final_cell_0179,0,ductal
mouse2_lib1.final_cell_0253,1,beta
mouse1_lib2.final_cell_0280,0,ductal
mouse1_lib1.final_cell_0164,0,beta
mouse1_lib3.final_cell_0193,0,beta
mouse2_lib3.final_cell_0110,1,beta
mouse2_lib2.final_cell_0092,1,beta
mouse2_lib3.final_cell_0292,1,endothelial
mouse1_lib3.final_cell_0040,0,beta
mouse2_lib2.final_cell_0152,1,beta
mouse2_lib3.final_cell_0040,1,beta
mouse2_lib3.final_cell_0342,1,beta
mouse2_lib1.final_cell_0212,1,beta
mouse2_lib1.final_cell_0028,1,beta
mouse1_lib2.final_cell_0247,0,gamma
mouse2_lib2.final_cell_0177,1,delta
mouse1_lib3.final_cell_0234,0,ductal
mouse2_lib2.final_cell_0328,1,quiescent_stellate
mouse2_lib1.final_cell_0316,1,beta
mouse2_lib1.final_cell_0289,1,gamma
mouse1_lib3.final_cell_0102,0,beta
mouse1_lib3.final_cell_0175,0,ductal
mouse1_lib1.final_cell_0199,0,beta
mouse1_lib3.final_cell_0046,0,ductal
mouse2_lib3.final_cell_0363,1,beta
mouse2_lib2.final_cell_0045,1,beta
mouse2_lib2.final_cell_0272,1,alpha
mouse1_lib1.final_cell_0193,0,ductal
mouse1_lib3.final_cell_0131,0,beta
mouse2_lib1.final_cell_0168,1,beta
mouse1_lib3.final_cell_0082,0,ductal
mouse1_lib2.final_cell_0239,0,endothelial
mouse1_lib3.final_cell_0013,0,ductal
mouse1_lib3.final_cell_0161,0,ductal
mouse2_lib3.final_cell_0379,1,ductal
mouse2_lib2.final_cell_0168,1,beta
mouse2_lib3.final_cell_0060,1,beta
mouse1_lib2.final_cell_0039,0,beta
mouse2_lib1.final_cell_0299,1,beta
mouse1_lib3.final_cell_0204,0,ductal
mouse2_lib1.final_cell_0087,1,beta
mouse2_lib2.final_cell_0336,1,quiescent_stellate
mouse1_lib1.final_cell_0211,0,beta
mouse1_lib1.final_cell_0259,0,beta
mouse2_lib3.final_cell_0148,1,alpha
mouse2_lib3.final_cell_0242,1,endothelial
mouse2_lib1.final_cell_0161,1,beta
mouse2_lib2.final_cell_0343,1,B_cell
mouse1_lib1.final_cell_0129,0,beta
mouse2_lib1.final_cell_0184,1,alpha
mouse1_lib1.final_cell_0203,0,endothelial
mouse1_lib1.final_cell_0251,0,endothelial
mouse1_lib3.final_cell_0181,0,beta
mouse2_lib2.final_cell_0182,1,beta
mouse1_lib1.final_cell_0198,0,beta
mouse2_lib1.final_cell_0284,1,alpha
mouse1_lib3.final_cell_0235,0,ductal
mouse2_lib3.final_cell_0386,1,delta
mouse2_lib2.final_cell_0073,1,beta
mouse1_lib2.final_cell_0112,0,beta
mouse2_lib3.final_cell_0021,1,alpha
mouse2_lib1.final_cell_0075,1,beta
mouse2_lib3.final_cell_0284,1,endothelial
mouse1_lib2.final_cell_0017,0,ductal
mouse2_lib3.final_cell_0244,1,beta
mouse2_lib2.final_cell_0024,1,beta
mouse2_lib3.final_cell_0192,1,endothelial
mouse1_lib2.final_cell_0091,0,beta
mouse1_lib2.final_cell_0123,0,delta
mouse1_lib2.final_cell_0235,0,beta
mouse1_lib1.final_cell_0039,0,delta
mouse2_lib3.final_cell_0365,1,beta
mouse2_lib3.final_cell_0097,1,delta
mouse2_lib3.final_cell_0230,1,beta
mouse2_lib2.final_cell_0081,1,delta
mouse1_lib1.final_cell_0145,0,endothelial
mouse2_lib3.final_cell_0346,1,beta
mouse1_lib1.final_cell_0167,0,gamma
mouse2_lib1.final_cell_0308,1,delta
mouse1_lib2.final_cell_0229,0,delta
mouse2_lib3.final_cell_0011,1,beta
mouse2_lib2.final_cell_0067,1,alpha
mouse2_lib2.final_cell_0140,1,macrophage
mouse1_lib2.final_cell_0213,0,delta
mouse2_lib3.final_cell_0354,1,endothelial
mouse1_lib1.final_cell_0027,0,ductal
mouse2_lib2.final_cell_0101,1,beta
mouse1_lib3.final_cell_0154,0,ductal
mouse2_lib1.final_cell_0133,1,beta
mouse1_lib1.final_cell_0103,0,beta
mouse1_lib3.final_cell_0037,0,ductal
mouse2_lib3.final_cell_0170,1,beta
mouse1_lib1.final_cell_0249,0,ductal
mouse1_lib3.final_cell_0125,0,endothelial
mouse1_lib2.final_cell_0219,0,ductal
mouse1_lib1.final_cell_0135,0,ductal
mouse2_lib1.final_cell_0215,1,beta
mouse1_lib3.final_cell_0148,0,quiescent_stellate
mouse1_lib2.final_cell_0018,0,endothelial
mouse2_lib1.final_cell_0249,1,alpha
mouse2_lib3.final_cell_0246,1,beta
mouse2_lib2.final_cell_0184,1,alpha
mouse1_lib3.final_cell_0031,0,ductal
mouse2_lib1.final_cell_0030,1,ductal
mouse1_lib2.final_cell_0169,0,beta
mouse2_lib2.final_cell_0341,1,delta
mouse2_lib3.final_cell_0211,1,activated_stellate
mouse1_lib1.final_cell_0216,0,beta
mouse2_lib1.final_cell_0038,1,beta
mouse2_lib3.final_cell_0066,1,alpha
mouse2_lib2.final_cell_0187,1,beta
mouse1_lib3.final_cell_0090,0,ductal
mouse2_lib2.final_cell_0232,1,macrophage
mouse1_lib1.final_cell_0210,0,ductal
mouse1_lib3.final_cell_0080,0,beta
mouse2_lib3.final_cell_0202,1,beta
mouse2_lib3.final_cell_0012,1,beta
mouse2_lib2.final_cell_0237,1,macrophage
mouse2_lib2.final_cell_0113,1,alpha
mouse1_lib3.final_cell_0127,0,ductal
mouse2_lib3.final_cell_0293,1,alpha
mouse1_lib3.final_cell_0232,0,ductal
mouse1_lib2.final_cell_0160,0,delta
mouse2_lib3.final_cell_0319,1,beta
mouse1_lib3.final_cell_0187,0,macrophage
mouse1_lib3.final_cell_0208,0,delta
mouse2_lib3.final_cell_0175,1,beta
mouse1_lib3.final_cell_0174,0,ductal
mouse1_lib2.final_cell_0034,0,beta
mouse1_lib2.final_cell_0136,0,ductal
mouse1_lib2.final_cell_0277,0,beta
mouse2_lib3.final_cell_0119,1,beta
mouse1_lib1.final_cell_0234,0,quiescent_stellate
mouse2_lib1.final_cell_0216,1,delta
mouse2_lib2.final_cell_0249,1,activated_stellate
mouse2_lib3.final_cell_0105,1,delta
mouse1_lib2.final_cell_0231,0,delta
mouse1_lib2.final_cell_0024,0,ductal
mouse2_lib2.final_cell_0200,1,beta
mouse2_lib1.final_cell_0090,1,beta
mouse1_lib2.final_cell_0158,0,endothelial
mouse2_lib3.final_cell_0113,1,beta
mouse2_lib1.final_cell_0141,1,ductal
mouse1_lib3.final_cell_0078,0,activated_stellate
mouse1_lib1.final_cell_0241,0,beta
mouse2_lib3.final_cell_0080,1,beta
mouse2_lib2.final_cell_0103,1,beta
mouse1_lib1.final_cell_0244,0,ductal
mouse1_lib2.final_cell_0134,0,beta
mouse1_lib2.final_cell_0274,0,delta
mouse1_lib3.final_cell_0070,0,ductal
mouse2_lib1.final_cell_0047,1,beta
mouse2_lib2.final_cell_0158,1,beta
mouse1_lib1.final_cell_0072,0,beta
mouse2_lib2.final_cell_0338,1,delta
mouse1_lib1.final_cell_0218,0,beta
mouse2_lib2.final_cell_0017,1,beta
mouse1_lib2.final_cell_0101,0,beta
mouse1_lib1.final_cell_0026,0,endothelial
mouse2_lib3.final_cell_0078,1,alpha
mouse1_lib2.final_cell_0186,0,macrophage
mouse2_lib3.final_cell_0331,1,ductal
mouse2_lib2.final_cell_0278,1,beta
mouse1_lib2.final_cell_0250,0,ductal
mouse2_lib1.final_cell_0137,1,beta
mouse1_lib2.final_cell_0260,0,ductal
mouse2_lib3.final_cell_0392,1,beta
mouse2_lib3.final_cell_0150,1,beta
mouse2_lib3.final_cell_0032,1,beta
mouse1_lib3.final_cell_0157,0,ductal
mouse2_lib3.final_cell_0327,1,beta
mouse2_lib2.final_cell_0243,1,alpha
mouse1_lib1.final_cell_0015,0,beta
mouse1_lib3.final_cell_0106,0,beta
mouse1_lib1.final_cell_0248,0,beta
mouse2_lib3.final_cell_0226,1,beta
mouse2_lib3.final_cell_0144,1,delta
mouse1_lib1.final_cell_0004,0,schwann
mouse2_lib2.final_cell_0183,1,beta
mouse1_lib2.final_cell_0026,0,ductal
mouse1_lib1.final_cell_0151,0,ductal
mouse1_lib2.final_cell_0056,0,endothelial
mouse2_lib1.final_cell_0074,1,beta
mouse2_lib3.final_cell_0209,1,alpha
mouse1_lib2.final_cell_0259,0,endothelial
mouse2_lib1.final_cell_0005,1,beta
mouse1_lib1.final_cell_0212,0,delta
mouse2_lib1.final_cell_0298,1,endothelial
mouse2_lib3.final_cell_0143,1,beta
mouse1_lib3.final_cell_0089,0,ductal
mouse1_lib2.final_cell_0189,0,beta
mouse1_lib2.final_cell_0227,0,quiescent_stellate
mouse1_lib3.final_cell_0197,0,ductal
mouse1_lib2.final_cell_0051,0,ductal
mouse1_lib1.final_cell_0213,0,beta
mouse2_lib1.final_cell_0150,1,beta
mouse1_lib2.final_cell_0175,0,beta
mouse2_lib1.final_cell_0113,1,beta
mouse1_lib1.final_cell_0009,0,beta
mouse2_lib3.final_cell_0102,1,beta
mouse2_lib2.final_cell_0099,1,beta
mouse2_lib2.final_cell_0333,1,delta
mouse2_lib1.final_cell_0152,1,ductal
mouse2_lib3.final_cell_0086,1,alpha
mouse2_lib3.final_cell_0197,1,alpha
mouse2_lib1.final_cell_0061,1,beta
mouse1_lib2.final_cell_0148,0,beta
mouse1_lib3.final_cell_0110,0,beta
mouse2_lib2.final_cell_0161,1,beta
mouse1_lib1.final_cell_0175,0,ductal
mouse2_lib2.final_cell_0063,1,beta
mouse1_lib3.final_cell_0213,0,beta
mouse2_lib2.final_cell_0247,1,endothelial
mouse1_lib1.final_cell_0223,0,beta
mouse2_lib3.final_cell_0369,1,endothelial
mouse1_lib2.final_cell_0244,0,alpha
mouse2_lib1.final_cell_0210,1,alpha
mouse2_lib3.final_cell_0315,1,quiescent_stellate
mouse2_lib3.final_cell_0309,1,beta
mouse2_lib1.final_cell_0214,1,beta
mouse2_lib3.final_cell_0130,1,alpha
mouse1_lib2.final_cell_0256,0,beta
mouse2_lib1.final_cell_0283,1,alpha
mouse1_lib1.final_cell_0250,0,ductal
mouse2_lib3.final_cell_0276,1,beta
mouse1_lib1.final_cell_0208,0,endothelial
mouse1_lib3.final_cell_0079,0,immune_other
mouse2_lib1.final_cell_0158,1,alpha
mouse2_lib3.final_cell_0046,1,beta
mouse2_lib3.final_cell_0275,1,beta
mouse2_lib3.final_cell_0145,1,alpha
mouse2_lib3.final_cell_0316,1,endothelial
mouse2_lib2.final_cell_0224,1,beta
mouse1_lib3.final_cell_0224,0,beta
mouse1_lib2.final_cell_0272,0,macrophage
mouse1_lib1.final_cell_0096,0,delta
mouse2_lib2.final_cell_0150,1,alpha
mouse2_lib3.final_cell_0052,1,beta
mouse1_lib2.final_cell_0033,0,beta
mouse1_lib1.final_cell_0227,0,ductal
mouse2_lib3.final_cell_0047,1,beta
mouse2_lib2.final_cell_0317,1,beta
mouse2_lib1.final_cell_0280,1,B_cell
mouse1_lib2.final_cell_0041,0,beta
mouse2_lib1.final_cell_0267,1,ductal
mouse1_lib2.final_cell_0117,0,ductal
mouse2_lib3.final_cell_0094,1,alpha
mouse1_lib3.final_cell_0120,0,delta
mouse1_lib1.final_cell_0144,0,beta
mouse1_lib2.final_cell_0028,0,ductal
mouse2_lib2.final_cell_0227,1,beta
mouse1_lib3.final_cell_0060,0,beta
mouse2_lib1.final_cell_0290,1,endothelial
mouse1_lib1.final_cell_0146,0,delta
mouse1_lib2.final_cell_0031,0,endothelial
mouse2_lib3.final_cell_0159,1,beta
mouse1_lib2.final_cell_0200,0,endothelial
mouse2_lib1.final_cell_0015,1,beta
mouse2_lib2.final_cell_0258,1,beta
mouse1_lib3.final_cell_0169,0,quiescent_stellate
mouse1_lib2.final_cell_0176,0,beta
mouse2_lib2.final_cell_0216,1,beta
mouse1_lib3.final_cell_0167,0,ductal
mouse1_lib1.final_cell_0159,0,ductal
mouse2_lib1.final_cell_0203,1,delta
mouse2_lib3.final_cell_0222,1,beta
mouse2_lib2.final_cell_0250,1,beta
mouse2_lib1.final_cell_0014,1,delta
mouse1_lib3.final_cell_0045,0,delta
mouse2_lib3.final_cell_0345,1,alpha
mouse1_lib1.final_cell_0028,0,ductal
mouse2_lib2.final_cell_0300,1,beta
mouse2_lib3.final_cell_0082,1,alpha
mouse2_lib2.final_cell_0071,1,beta
mouse1_lib1.final_cell_0112,0,macrophage
mouse2_lib2.final_cell_0015,1,alpha
mouse2_lib2.final_cell_0062,1,delta
mouse1_lib1.final_cell_0239,0,ductal
mouse2_lib3.final_cell_0303,1,beta
mouse2_lib2.final_cell_0030,1,delta
mouse2_lib2.final_cell_0349,1,endothelial
mouse2_lib3.final_cell_0055,1,beta
mouse1_lib3.final_cell_0071,0,ductal
mouse2_lib3.final_cell_0163,1,alpha
mouse2_lib1.final_cell_0044,1,delta
mouse2_lib3.final_cell_0100,1,alpha
mouse2_lib1.final_cell_0164,1,beta
mouse2_lib2.final_cell_0028,1,alpha
mouse1_lib2.final_cell_0195,0,beta
mouse1_lib3.final_cell_0004,0,delta
mouse2_lib3.final_cell_0359,1,quiescent_stellate
mouse2_lib2.final_cell_0294,1,endothelial
mouse1_lib2.final_cell_0190,0,beta
mouse2_lib3.final_cell_0161,1,beta
mouse2_lib1.final_cell_0034,1,delta
mouse2_lib3.final_cell_0111,1,beta
mouse2_lib2.final_cell_0165,1,delta
mouse2_lib1.final_cell_0108,1,beta
mouse2_lib1.final_cell_0167,1,delta
mouse1_lib2.final_cell_0188,0,delta
mouse2_lib2.final_cell_0078,1,beta
mouse2_lib2.final_cell_0121,1,beta
mouse2_lib3.final_cell_0287,1,beta
mouse2_lib1.final_cell_0073,1,beta
mouse1_lib1.final_cell_0036,0,ductal
mouse1_lib2.final_cell_0062,0,beta
mouse1_lib2.final_cell_0276,0,beta
mouse1_lib1.final_cell_0044,0,endothelial
mouse1_lib1.final_cell_0111,0,delta
mouse1_lib2.final_cell_0100,0,ductal
mouse1_lib1.final_cell_0156,0,delta
mouse1_lib3.final_cell_0114,0,delta
mouse1_lib2.final_cell_0079,0,macrophage
mouse2_lib3.final_cell_0234,1,beta
mouse1_lib2.final_cell_0165,0,ductal
mouse1_lib1.final_cell_0271,0,ductal
mouse1_lib1.final_cell_0150,0,beta
mouse1_lib2.final_cell_0221,0,beta
mouse1_lib3.final_cell_0246,0,delta
mouse1_lib2.final_cell_0248,0,endothelial
mouse1_lib2.final_cell_0152,0,beta
mouse2_lib1.final_cell_0166,1,beta
mouse2_lib1.final_cell_0241,1,beta
mouse1_lib3.final_cell_0027,0,quiescent_stellate
mouse2_lib2.final_cell_0043,1,beta
mouse2_lib2.final_cell_0197,1,beta
mouse1_lib2.final_cell_0172,0,beta
mouse2_lib3.final_cell_0339,1,alpha
mouse2_lib1.final_cell_0175,1,alpha
mouse1_lib2.final_cell_0209,0,beta
mouse1_lib2.final_cell_0163,0,beta
mouse2_lib3.final_cell_0049,1,beta
mouse2_lib1.final_cell_0191,1,beta
mouse1_lib1.final_cell_0126,0,quiescent_stellate
mouse2_lib3.final_cell_0026,1,alpha
mouse1_lib2.final_cell_0206,0,endothelial
mouse2_lib3.final_cell_0087,1,alpha
mouse2_lib3.final_cell_0123,1,beta
mouse2_lib1.final_cell_0235,1,alpha
mouse2_lib3.final_cell_0358,1,ductal
mouse1_lib1.final_cell_0086,0,beta
mouse2_lib1.final_cell_0223,1,beta
mouse2_lib1.final_cell_0291,1,beta
mouse2_lib2.final_cell_0042,1,beta
mouse2_lib1.final_cell_0060,1,delta
mouse1_lib3.final_cell_0250,0,T_cell
mouse2_lib2.final_cell_0151,1,beta
mouse2_lib1.final_cell_0004,1,ductal
mouse1_lib1.final_cell_0080,0,beta
mouse2_lib3.final_cell_0194,1,gamma
mouse2_lib3.final_cell_0283,1,alpha
mouse2_lib3.final_cell_0233,1,macrophage
mouse1_lib1.final_cell_0243,0,beta
mouse2_lib1.final_cell_0278,1,beta
mouse2_lib2.final_cell_0186,1,endothelial
mouse2_lib2.final_cell_0008,1,beta
mouse2_lib2.final_cell_0166,1,beta
mouse1_lib3.final_cell_0252,0,ductal
mouse1_lib2.final_cell_0106,0,macrophage
mouse1_lib2.final_cell_0002,0,schwann
mouse2_lib1.final_cell_0035,1,alpha
mouse2_lib2.final_cell_0065,1,beta
mouse2_lib3.final_cell_0136,1,beta
mouse1_lib1.final_cell_0070,0,ductal
mouse2_lib2.final_cell_0304,1,quiescent_stellate
mouse1_lib3.final_cell_0074,0,beta
mouse2_lib1.final_cell_0117,1,beta
mouse1_lib1.final_cell_0254,0,delta
mouse1_lib2.final_cell_0251,0,ductal
mouse2_lib2.final_cell_0339,1,alpha
mouse1_lib3.final_cell_0072,0,ductal
mouse1_lib3.final_cell_0201,0,beta
mouse1_lib2.final_cell_0258,0,endothelial
mouse1_lib3.final_cell_0011,0,ductal
mouse2_lib3.final_cell_0142,1,alpha
mouse2_lib2.final_cell_0292,1,beta
mouse2_lib2.final_cell_0188,1,ductal
mouse2_lib1.final_cell_0053,1,alpha
mouse2_lib1.final_cell_0064,1,delta
mouse2_lib3.final_cell_0232,1,macrophage
mouse1_lib2.final_cell_0245,0,quiescent_stellate
mouse2_lib1.final_cell_0250,1,beta
mouse1_lib3.final_cell_0158,0,ductal
mouse1_lib1.final_cell_0118,0,beta
mouse2_lib3.final_cell_0352,1,beta
mouse1_lib3.final_cell_0067,0,ductal
mouse2_lib1.final_cell_0311,1,delta
